N,true_gamma,sim,prs_r2,wg_power,wg_gamma,wg_pval,pc_power,pc_gamma,pc_pval,cd_power,cd_gamma,cd_pval
5000,-0.1,0,0.0016295310498199759,0,0.007520534720040738,0.4486830648239263,0,0.001092165141302283,0.8331816992880656,0,0.003509833172000469,0.8040581185788525
5000,-0.1,1,0.0006176548382203753,0,-0.014551377768468016,0.15080727086458226,0,-0.0012950971098317117,0.12584079630838407,0,0.003939091910235135,0.7819976716886232
5000,-0.1,2,0.002641446170180826,0,-0.008980971410942217,0.3635614696385602,0,0.0002674358860882954,0.38812645184326655,0,-0.0025916536829496345,0.8554221259358107
5000,-0.1,3,0.0020596170279185504,0,0.008587987608206778,0.38547924703562475,0,0.0009234793647594573,0.23105592037141176,0,0.01775687169609908,0.2030956519559968
5000,-0.1,4,0.0004942403165613406,1,0.02371694431121836,0.017405473557606885,0,0.0018023168675633196,0.2550188151837429,0,0.019872191927444022,0.15803735011540332
5000,-0.1,5,0.0010497329326211865,0,0.002611548100270686,0.7906538553052324,0,-0.00040672035584348734,0.1812369202303552,0,-0.004786642260869597,0.7305710067303961
5000,-0.1,6,0.0009107716001451649,0,0.005523241445945024,0.5868969474856072,0,0.001027946159566277,0.2624687775430241,0,0.013798134696103956,0.3273175199459406
5000,-0.1,7,0.0015118207837930163,0,0.0007229536542632635,0.9429371829519373,0,-6.959109279615068e-05,0.9536011758472319,0,-0.0012153221122719465,0.9330402529218537
5000,-0.1,8,0.0003217450138523429,0,0.004509465068434197,0.6493585783532525,0,0.0002526177039700688,0.9348138821372389,0,-0.007959265919693318,0.571315745706627
5000,-0.1,9,0.0017484728600084443,1,0.020975591239196484,0.032573716042309596,0,0.001723928903273175,0.8768292628518614,0,0.02210645864289933,0.11714388188999507
5000,-0.1,10,0.0007407274695575354,0,-0.006773348326588379,0.49476214466746615,0,-0.00039924572501885285,0.8142452423231,0,-0.019064776826992688,0.17796874421477046
5000,-0.1,11,0.001036111117766736,0,0.010520199384974841,0.2747783324217031,0,0.0006357231264570959,0.44388004304206563,0,0.011074534392023595,0.4144092019791129
