N,R2,true_gamma,sim,wg_power,wg_gamma,wg_pval,pc_power,pc_gamma,pc_pval,cd_power,cd_gamma,cd_pval
50000,0.01,-0.1,0,0,-0.005189674584600072,0.09997147642534458,0,0.0009606256606279686,0.8723921101335995,0,-0.0005366239412127222,0.9040708108323245
50000,0.01,-0.1,1,0,0.0012117753077120223,0.6989023484311692,0,-0.0006287088429885789,0.23994537400378446,0,0.0007604346896927392,0.8640385438910525
50000,0.01,-0.1,2,0,0.0010498106151662872,0.7384421612282797,0,-0.00025457672709172793,0.20825838896399684,0,0.00044114645818285603,0.9215392964934245
50000,0.01,-0.1,3,0,0.00023986142064657631,0.9393129433488556,0,-3.4688314317370665e-05,0.4522504817608788,0,-0.0014125510756535405,0.7514594269186641
50000,0.01,-0.1,4,0,-0.003620520952224906,0.24903906287755948,0,0.0008608046070006299,0.444517648667238,0,0.0014333988093013458,0.7476725108372723
50000,0.01,-0.1,5,0,-0.0007781277508886583,0.8045396787717541,0,-0.0009333655311074522,0.09281101351953391,0,-0.002243759560136247,0.6165636414616982
50000,0.01,-0.1,6,0,0.00018890156568310973,0.9523956731734942,0,0.00030068800833636384,0.2100698123653708,0,-0.0013577404984074126,0.7617063605181862
50000,0.01,-0.1,7,0,-0.0012822016486873458,0.6877642637903205,0,0.0014594575234531581,0.8822142854508099,0,0.0009211488636036665,0.8360351901329033
50000,0.01,-0.1,8,0,-0.004806338127157913,0.12195322163756317,0,-0.00016946798765289162,0.9086753874961112,0,0.007227694657322651,0.10026528113790491
50000,0.01,-0.1,9,0,-0.0031781432834593463,0.30754571365432165,0,0.0005796591819748503,0.9085306386221441,0,0.0024094725441380534,0.5889142213956582
50000,0.01,-0.1,10,0,0.0014628755748726909,0.6408455678464862,0,-0.0013726282240288706,0.08171250421341325,0,0.0028066327944076272,0.5288577476777507
50000,0.01,-0.1,11,0,0.003965288126764696,0.208902395497865,0,-0.000870318278357935,0.8988976476830235,0,0.00358021670236348,0.4175500371550671
50000,0.01,-0.1,12,0,-0.0006187254728042304,0.843836543356696,0,-6.79105123587373e-05,0.2240619743841098,0,-0.00154982090291719,0.7289609228081452
50000,0.01,-0.1,13,0,-0.002788426325420577,0.3783896835509669,0,0.001389476648019643,0.3735668821285385,0,0.0012228000081814122,0.7835933232803887
50000,0.01,-0.1,14,0,-0.002657990477352836,0.4032949573614458,1,-0.0007438827175765547,0.04637194460312333,0,-0.007322234871783463,0.10043935869273216
50000,0.01,-0.1,15,0,-0.0025174313784098205,0.420601886308811,0,-0.0009358610577460195,0.33416775516735475,1,-0.010496050101084281,0.018531891886275225
50000,0.01,-0.1,16,0,0.001526197179298762,0.6281488634328674,0,-0.0004846365734103257,0.5860903659269396,0,0.0007329365024688747,0.8701300070251775
50000,0.01,-0.1,17,0,0.0009481355753083755,0.7643729697467702,0,-0.0009293042350879275,0.961088168565198,0,0.0015907706761079535,0.7185413672883956
50000,0.01,-0.1,18,0,-0.004757674713965482,0.1279496283998547,0,-0.0015281223030243973,0.7653615194925805,0,-0.0060106068668397015,0.17563241236135177
50000,0.01,-0.1,19,0,-0.0021460383835296346,0.4937530798314145,0,0.0006357569506726941,0.7838891457839999,0,-0.003279889316043151,0.4608146767491911
50000,0.01,-0.1,20,0,-0.0010695651723798144,0.7363255757918401,0,-0.0007212863471839232,0.1406630759683839,0,-0.0009483461569515024,0.833243576425608
50000,0.01,-0.1,21,0,-0.0005531303469434811,0.8593807575409258,0,-0.001006525414794126,0.4696795473295753,0,0.005132674706942367,0.24963726713058595
50000,0.01,-0.1,22,0,-0.003243631213427762,0.3069766439864208,0,0.0007833436897929669,0.4071641715910488,0,-0.004250401559573993,0.3395561367229799
50000,0.01,-0.1,23,0,-0.0006836960287353797,0.8288633215031166,0,-0.0010034079097862051,0.28046686723687264,0,0.0022462133339062355,0.6157627629918725
50000,0.01,-0.1,24,0,-0.0034932706268465262,0.2688495104961053,0,0.00010055280401998236,0.989678518830397,0,-0.007928107699717378,0.07566733548344272
50000,0.01,-0.1,25,0,-0.0012499137488424113,0.6915127950846915,0,-0.0008964326686587391,0.1567697434297325,0,0.0032872732220248072,0.45927272571522604
50000,0.01,-0.1,26,0,0.0019328201606354225,0.5438318849467199,0,-0.00039460833648286627,0.5274434573708742,0,0.003551162937989174,0.4228196635923094
50000,0.01,-0.1,27,0,-0.00021111448154788727,0.9465145106060846,0,-0.0017028759256460363,0.3645701160109329,0,0.00484415279081786,0.27600983738636564
50000,0.01,-0.1,28,0,0.0010453123369916191,0.7411011415763085,0,-0.0004841310894957365,0.9923003421737159,0,-0.0054035523901914614,0.22445949914032065
50000,0.01,-0.1,29,0,-0.0005899390303316667,0.8509462003913849,0,-0.0002547719038670402,0.09652972298362505,0,-0.002878215360408286,0.5183806555674573
